ABHD11-AS1	ABHD11-AS1	DOID:1928	Williams-Beuren syndrome	MedlinePlus	CURATED	5
ENSP00000001146	CYP26B1	DOID:2340	Craniosynostosis	UniProtKB-KW	CURATED	4
ENSP00000003084	CFTR	DOID:0111862	Congenital bilateral absence of vas deferens	MedlinePlus	CURATED	5
ENSP00000003084	CFTR	DOID:1485	Cystic fibrosis	MedlinePlus	CURATED	5
ENSP00000005226	USH1C	DOID:0050439	Usher syndrome	MedlinePlus	CURATED	5
ENSP00000005226	USH1C	DOID:0050563	Nonsyndromic deafness	MedlinePlus	CURATED	5
ENSP00000005226	USH1C	DOID:0050563	Nonsyndromic deafness	UniProtKB-KW	CURATED	4
ENSP00000005226	USH1C	DOID:10584	Retinitis pigmentosa	UniProtKB-KW	CURATED	4
ENSP00000005257	RALA	DOID:1059	Intellectual disability	UniProtKB-KW	CURATED	4
ENSP00000007722	ITGA3	DOID:2730	Epidermolysis bullosa	UniProtKB-KW	CURATED	4
ENSP00000012443	PPP5C	DOID:10652	Alzheimer's disease	UniProtKB-KW	CURATED	4
ENSP00000012443	PPP5C	DOID:1289	Neurodegenerative disease	UniProtKB-KW	CURATED	4
ENSP00000012443	PPP5C	DOID:9120	Amyloidosis	UniProtKB-KW	CURATED	4
ENSP00000013070	UBR7	DOID:1059	Intellectual disability	UniProtKB-KW	CURATED	4
ENSP00000013807	ERCC1	DOID:12270	Coloboma	MedlinePlus	CURATED	5
ENSP00000013807	ERCC1	DOID:83	Cataract	UniProtKB-KW	CURATED	4
ENSP00000016171	COX15	DOID:3652	Leigh disease	MedlinePlus	CURATED	5
ENSP00000016171	COX15	DOID:3652	Leigh disease	UniProtKB-KW	CURATED	4
ENSP00000016171	COX15	DOID:3762	cytochrome-c oxidase deficiency disease	MedlinePlus	CURATED	5
ENSP00000023064	SLC7A9	DOID:9266	Cystinuria	MedlinePlus	CURATED	5
ENSP00000023064	SLC7A9	DOID:9266	Cystinuria	UniProtKB-KW	CURATED	4
ENSP00000026218	PIGQ	DOID:1826	Epilepsy	UniProtKB-KW	CURATED	4
ENSP00000029410	B4GALT7	DOID:13359	Ehlers-Danlos syndrome	MedlinePlus	CURATED	5
ENSP00000029410	B4GALT7	DOID:13359	Ehlers-Danlos syndrome	UniProtKB-KW	CURATED	4
ENSP00000037502	MYOC	DOID:1686	Glaucoma	UniProtKB-KW	CURATED	4
ENSP00000039007	OTC	DOID:9271	Ornithine carbamoyltransferase deficiency	MedlinePlus	CURATED	5
ENSP00000043402	RTN4R	DOID:5419	Schizophrenia	MedlinePlus	CURATED	5
ENSP00000052754	DCN	DOID:0060445	Congenital stromal corneal dystrophy	MedlinePlus	CURATED	5
ENSP00000053243	TNFRSF17	DOID:162	Cancer	UniProtKB-KW	CURATED	4
ENSP00000053867	GRN	DOID:0110732	Neuronal ceroid lipofuscinosis 11	MedlinePlus	CURATED	5
ENSP00000053867	GRN	DOID:1289	Neurodegenerative disease	UniProtKB-KW	CURATED	4
ENSP00000053867	GRN	DOID:14503	Neuronal ceroid lipofuscinosis	UniProtKB-KW	CURATED	4
ENSP00000053867	GRN	DOID:9255	Frontotemporal dementia	MedlinePlus	CURATED	5
ENSP00000055077	RFC2	DOID:1928	Williams-Beuren syndrome	MedlinePlus	CURATED	5
ENSP00000055682	KIAA2022	DOID:1059	Intellectual disability	UniProtKB-KW	CURATED	4
ENSP00000056217	ARHGEF5	DOID:162	Cancer	UniProtKB-KW	CURATED	4
ENSP00000061240	TLL1	DOID:1882	Atrial heart septal defect	UniProtKB-KW	CURATED	4
ENSP00000064724	CLDN11	DOID:10579	Leukodystrophy	UniProtKB-KW	CURATED	4
ENSP00000064780	RELT	DOID:2187	Amelogenesis imperfecta	UniProtKB-KW	CURATED	4
ENSP00000070846	PKP2	DOID:0050431	Arrhythmogenic right ventricular cardiomyopathy	MedlinePlus	CURATED	5
ENSP00000070846	PKP2	DOID:0050700	Cardiomyopathy	UniProtKB-KW	CURATED	4
ENSP00000075503	STYK1	DOID:162	Cancer	UniProtKB-KW	CURATED	4
ENSP00000078429	GNA11	DOID:0090109	Autosomal dominant hypocalcemia	MedlinePlus	CURATED	5
ENSP00000155840	KCNQ1	DOID:0050650	Familial atrial fibrillation	MedlinePlus	CURATED	5
ENSP00000155840	KCNQ1	DOID:0050650	Familial atrial fibrillation	UniProtKB-KW	CURATED	4
ENSP00000155840	KCNQ1	DOID:0050793	Short QT syndrome	MedlinePlus	CURATED	5
ENSP00000155840	KCNQ1	DOID:11714	Gestational diabetes	MedlinePlus	CURATED	5
ENSP00000155840	KCNQ1	DOID:2842	Jervell-Lange Nielsen syndrome	MedlinePlus	CURATED	5
ENSP00000155840	KCNQ1	DOID:2843	Long QT syndrome	MedlinePlus	CURATED	5
ENSP00000155840	KCNQ1	DOID:2843	Long QT syndrome	UniProtKB-KW	CURATED	4
ENSP00000155840	KCNQ1	DOID:9351	Diabetes mellitus	UniProtKB-KW	CURATED	4
ENSP00000156084	OTUD5	DOID:1059	Intellectual disability	UniProtKB-KW	CURATED	4
ENSP00000159111	KDM4B	DOID:1059	Intellectual disability	UniProtKB-KW	CURATED	4
ENSP00000160382	ACTL6B	DOID:1059	Intellectual disability	UniProtKB-KW	CURATED	4
ENSP00000160382	ACTL6B	DOID:1826	Epilepsy	UniProtKB-KW	CURATED	4
ENSP00000162749	TNFRSF1A	DOID:0090018	Autosomal dominant familial periodic fever	MedlinePlus	CURATED	5
ENSP00000162749	TNFRSF1A	DOID:2377	Multiple sclerosis	MedlinePlus	CURATED	5
ENSP00000162749	TNFRSF1A	DOID:9120	Amyloidosis	UniProtKB-KW	CURATED	4
ENSP00000164139	PYGM	DOID:2746	Glycogen storage disease V	MedlinePlus	CURATED	5
ENSP00000164139	PYGM	DOID:2747	Glycogen storage disease	UniProtKB-KW	CURATED	4
ENSP00000164227	BCL3	DOID:162	Cancer	UniProtKB-KW	CURATED	4
ENSP00000164305	PIGB	DOID:1826	Epilepsy	UniProtKB-KW	CURATED	4
ENSP00000166139	FSTL3	DOID:162	Cancer	UniProtKB-KW	CURATED	4
ENSP00000166345	TRIP13	DOID:0080688	Mosaic variegated aneuploidy syndrome	MedlinePlus	CURATED	5
ENSP00000167586	KRT14	DOID:0050430	Multiple endocrine neoplasia type 2A	AmyCo	CURATED	2
ENSP00000167586	KRT14	DOID:0050639	Primary cutaneous amyloidosis	AmyCo	CURATED	4
ENSP00000167586	KRT14	DOID:0111342	Dermatopathia pigmentosa reticularis	MedlinePlus	CURATED	5
ENSP00000167586	KRT14	DOID:2513	Basal cell carcinoma	AmyCo	CURATED	4
ENSP00000167586	KRT14	DOID:2730	Epidermolysis bullosa	UniProtKB-KW	CURATED	4
ENSP00000167586	KRT14	DOID:3390	Palmoplantar keratosis	UniProtKB-KW	CURATED	4
ENSP00000167586	KRT14	DOID:4644	Epidermolysis bullosa simplex	MedlinePlus	CURATED	5
ENSP00000167586	KRT14	DOID:6498	Seborrheic keratosis	AmyCo	CURATED	4
ENSP00000167586	KRT14	DOID:7039	Borst-Jadassohn intraepidermal carcinoma	AmyCo	CURATED	3
ENSP00000167586	KRT14	DOID:8691	Mycosis fungoides	AmyCo	CURATED	3
ENSP00000168216	HSD17B10	DOID:1059	Intellectual disability	UniProtKB-KW	CURATED	4
ENSP00000168216	HSD17B10	DOID:1289	Neurodegenerative disease	UniProtKB-KW	CURATED	4
ENSP00000168712	FGF4	DOID:162	Cancer	UniProtKB-KW	CURATED	4
